"url","area","street","cost","moveIn","description","bed","bath","floor","centralAir","rooftop","backyard","dishwasher"
"https://bedly.com/rooms/59caa7140a9ebc0007a07288","Bed-Stuy","Jefferson Avenue, Brooklyn, NY 11221","$1241","Jun 01, 2018","This building is a 3-floor walk-up located on Jefferson Avenue in Bed-Stuy. The closest subway stop is only a three minute walk from the front door. This area is culturally diverse, rich with history and full of unique shops, dining options and nightlife venues. Fifteen minutes away you will find Sankofa Aban BnB, home of the renowned Brownstone J...",4,2,0,false,false,false,false
"https://bedly.com/rooms/58e41ea3ffc1500100a22f6a","Bed-Stuy","Van Buren Street, Brooklyn, NY 11221","$1371","Jun 02, 2018","The apartment is in a brand new residential building in the Bedstuy neighborhood of Brooklyn. Located on Van Buren Street, the building is conveniently only a few blocks to the Bedford - Nostrand Avs station for the J train and the Gates Ave station for the G train. Manhattan is 30 minutes away.This is a single bedroom in a 2-bedroom, 1-bathroom ...",2,1,0,false,true,true,false
"https://bedly.com/rooms/59a6e3f5b1609a0007786fc4","Bushwick","Linden Street, Brooklyn, NY 11237","$1124","Jun 07, 2018","This is a large three unit building in Bushwick. The commute from the Myrtle Wycoff subway stop on the M train to Union Square Station in Midtown Manhattan is less than half and hour. The building is minutes from the restaurants, pubs and shops of Myrtle Avenue. Bushwick is famed for its wildly popular nightlife venues and art scene. Just a three m...",4,1,0,false,false,true,false
"https://bedly.com/rooms/58e41e04ffc1500100a22f65","Bed-Stuy","Van Buren Street, Brooklyn, NY 11221","$1368","Jun 10, 2018","The apartment is in a brand new residential building in the Bedstuy neighborhood of Brooklyn. Located on Van Buren Street, the building is conveniently only a few blocks to the Bedford - Nostrand Avs station for the J train and the Gates Ave station for the G train. Manhattan is 30 minutes away.This is a single bedroom in a 3-bedroom, 2-bathroom ...",2,1,0,false,true,true,false
"https://bedly.com/rooms/58e41e25ffc1500100a22f66","Bed-Stuy","Van Buren Street, Brooklyn, NY 11221","$1423","Jun 10, 2018","The apartment is in a brand new residential building in the Bedstuy neighborhood of Brooklyn. Located on Van Buren Street, the building is conveniently only a few blocks to the Bedford - Nostrand Avs station for the J train and the Gates Ave station for the G train. Manhattan is 30 minutes away.This is a single bedroom in a 3-bedroom, 2-bathroom ...",2,1,0,false,true,true,false
"https://bedly.com/rooms/595ff85b71213e0007db9b24","Bushwick","Suydam Street, Brooklyn, NY 11221","$1163","Jun 10, 2018","Air conditioned throughout. Beautiful rooftop view. Laundry on-site.This bright and spacious building is located on Suydam Street off Central Avenue in the heart of the wildly popular Bushwick nightlife scene. Planet Fitness, a billiard lounge and a French restaurant offering a superb brunch are just a few of the nearby favorites to visit. The we...",3,2,0,true,true,false,false
"https://bedly.com/rooms/595ff8f171213e0007db9b29","Bushwick","Suydam Street, Brooklyn, NY 11221","$1163","Jun 10, 2018","Enjoy the rooftop view. Air-conditioners in each room. Convenient access to laundry. This bright and spacious building is located on Suydam Street off Central Avenue in the heart of the wildly popular Bushwick nightlife scene. Planet Fitness, a billiard lounge and a French restaurant offering a superb brunch are just a few of the nearby favorites ...",3,2,0,true,true,false,false
"https://bedly.com/rooms/57e81b1430ed5601005e4554","Bed-Stuy","Willoughby Avenue, Brooklyn, NY 11206","$1061","Jun 10, 2018","This is a classic Brooklyn townhouse apartment in the Brooklyn neighborhood of Bedstuy. Located on Willoughby ave, the building is conveniently located only a few blocks away from the G, J, M, and Z trains and only 25 minutes to midtown Manhattan. This is a single bedroom in four-bed, one-bathroom, remodelled apartment. It is located on the secon...",4,1,0,false,false,false,false
"https://bedly.com/rooms/5a0b4f6422a8ce00082789b2","Bed-Stuy","Malcolm X Boulevard, Brooklyn, NY 11221","$1178","Jun 11, 2018","This is a 4-floor, dual level,walk up located on Malcolm X Blvd in Bed Stuy. It is a vibrant neighborhood full of nightlife and restaurant options. Try a smokehouse burger and beverage of your choice at The Looking Glass bar, just steps from your front door or phenomenal white pizza with seasonal veggies and a glass of house wine at Santa Panza. ...",5,2,0,false,false,false,false
"https://bedly.com/rooms/592c53f3b5aa9e01004db82f","Crown Heights","Albany Avenue, Brooklyn, NY 11213","$1062","Jun 15, 2018","This charming building is located in the Crown Heights neighborhood of Brooklyn, New York. With a deli or pharmacy on every corner and parks and museums within walking distance, the community shines through in this neighborhood. It is just a few blocks away from the Kingston - Throop Ave A, C stop and a 25-30 minute commute into Manhattan.A b...",4,1,0,false,false,false,false
